SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
"1,314",South,Nyanza,Kibilizi,Mbuye,Binyana,21040201,Fill In,,,,,,,,,,,,,,,,,,
"1,315",South,Nyanza,Kibilizi,Mbuye,Gako,21040202,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,316",South,Nyanza,Kibilizi,Mbuye,Gihama,21040203,Fill In,,,,,,,,,,,,,,,,,,
"1,317",South,Nyanza,Kibilizi,Mbuye,Karambi,21040204,Fill In,,,,,,,,,,,,,,,,,,
"1,318",South,Nyanza,Kibilizi,Mbuye,Karehe,21040205,Fill In,,,,,,,,,,,,,,,,,,
"1,319",South,Nyanza,Kibilizi,Mbuye,Kigarama,21040206,GE,,,,,,,,,,,,,,,,,,
"1,320",South,Nyanza,Kibilizi,Mbuye,Mukoni,21040207,Fill In,,,,,,,,,,,,,,,,,,
"1,321",South,Nyanza,Kibilizi,Mbuye,Rukore,21040208,SAS 2023,,,,,,,,,,,,,,,,,,
"1,322",South,Nyanza,Kibilizi,Mututu,Gatongati,21040301,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,323",South,Nyanza,Kibilizi,Mututu,Gicumbi,21040302,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,324",South,Nyanza,Kibilizi,Mututu,Kabeza,21040303,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,325",South,Nyanza,Kibilizi,Mututu,Kanyinya,21040304,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,326",South,Nyanza,Kibilizi,Mututu,Kivugiza,21040305,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,327",South,Nyanza,Kibilizi,Mututu,Masangano,21040306,GE,,,,,,,,,,,,,,,,,,
"1,328",South,Nyanza,Kibilizi,Rwotso,Bigarama,21040401,GE,,,,,,,,,,,,,,,,,,
"1,329",South,Nyanza,Kibilizi,Rwotso,Kabuga,21040402,Fill In,,,,,,,,,,,,,,,,,,
"1,330",South,Nyanza,Kibilizi,Rwotso,Kibilizi,21040403,Fill In,,,,,,,,,,,,,,,,,,
"1,331",South,Nyanza,Kibilizi,Rwotso,Mubano,21040404,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,332",South,Nyanza,Kibilizi,Rwotso,Mubuga,21040405,GE,,,,,,,,,,,,,,,,,,
"1,333",South,Nyanza,Kibilizi,Rwotso,Mutima,21040406,Fill In,,,,,,,,,,,,,,,,,,
"1,334",South,Nyanza,Kibilizi,Rwotso,Nyarurama,21040407,Fill In,,,,,,,,,,,,,,,,,,
"1,335",South,Nyanza,Kibilizi,Rwotso,Runyonza,21040408,GE,,,,,,,,,,,,,,,,,,
"1,336",South,Nyanza,Kibilizi,Rwotso,Rusagara,21040409,Fill In,,,,,,,,,,,,,,,,,,
"1,337",South,Nyanza,Kibilizi,Rwotso,Saruhembe,21040410,GE,,,,,,,,,,,,,,,,,,
"1,338",South,Nyanza,Kigoma,Butansinda,Butatsinda,21050101,GE,,,,,,,,,,,,,,,,,,
"1,339",South,Nyanza,Kigoma,Butansinda,Gitare,21050102,GE,,,,,,,,,,,,,,,,,,
"1,340",South,Nyanza,Kigoma,Butansinda,Shusho,21050103,SAS 2023,,,,,,,,,,,,,,,,,,
"1,341",South,Nyanza,Kigoma,Butansinda,Karama,21050104,SAS 2023,,,,,,,,,,,,,,,,,,
"1,342",South,Nyanza,Kigoma,Butansinda,Karambo,21050105,SAS,,,,,,,,,,,,,,,,,,
"1,343",South,Nyanza,Kigoma,Butansinda,Kayange,21050106,SAS,,,,,,,,,,,,,,,,,,
"1,344",South,Nyanza,Kigoma,Butansinda,Kibaza,21050107,SAS,,,,,,,,,,,,,,,,,,
"1,345",South,Nyanza,Kigoma,Butansinda,Kigoma,21050108,GE,,,,,,,,,,,,,,,,,,
"1,346",South,Nyanza,Kigoma,Butansinda,Marongi,21050109,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,347",South,Nyanza,Kigoma,Butansinda,Mataba,21050110,GE,,,,,,,,,,,,,,,,,,
"1,348",South,Nyanza,Kigoma,Butansinda,Nyesonga,21050111,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,349",South,Nyanza,Kigoma,Butara,Buruba,21050201,Fill In,,,,,,,,,,,,,,,,,,
"1,350",South,Nyanza,Kigoma,Butara,Butara,21050202,GE,,,,,,,,,,,,,,,,,,
"1,351",South,Nyanza,Kigoma,Butara,Gasharu,21050203,GE,,,,,,,,,,,,,,,,,,
"1,352",South,Nyanza,Kigoma,Butara,Kavumu,21050204,SAS,,,,,,,,,,,,,,,,,,
"1,353",South,Nyanza,Kigoma,Butara,Kigufi,21050205,Fill In,,,,,,,,,,,,,,,,,,
"1,354",South,Nyanza,Kigoma,Butara,Kirundo,21050206,SAS,,,,,,,,,,,,,,,,,,
"1,355",South,Nyanza,Kigoma,Butara,Nyabusheshe,21050207,SAS,,,,,,,,,,,,,,,,,,
"1,356",South,Nyanza,Kigoma,Butara,Runyinya,21050208,GE,,,,,,,,,,,,,,,,,,
"1,357",South,Nyanza,Kigoma,Gahombo,Birembo,21050301,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,358",South,Nyanza,Kigoma,Gahombo,Cyingina,21050302,Fill In,,,,,,,,,,,,,,,,,,
"1,359",South,Nyanza,Kigoma,Gahombo,Gashikiri,21050303,SAS 2023,,,,,,,,,,,,,,,,,,
"1,360",South,Nyanza,Kigoma,Gahombo,Gicunshu,21050304,SAS 2023,,,,,,,,,,,,,,,,,,
"1,361",South,Nyanza,Kigoma,Gahombo,Gisore,21050305,SAS 2023,,,,,,,,,,,,,,,,,,
"1,362",South,Nyanza,Kigoma,Gahombo,Karugando,21050306,SAS,,,,,,,,,,,,,,,,,,
"1,363",South,Nyanza,Kigoma,Gahombo,Kaziba,21050307,SAS,,,,,,,,,,,,,,,,,,
"1,364",South,Nyanza,Kigoma,Gahombo,Kirerabana,21050308,GE,,,,,,,,,,,,,,,,,,
"1,365",South,Nyanza,Kigoma,Gahombo,Nyagacyamo,21050309,SAS 2023,,,,,,,,,,,,,,,,,,
"1,366",South,Nyanza,Kigoma,Gahombo,Rugarama,21050310,SAS 2023,,,,,,,,,,,,,,,,,,
"1,367",South,Nyanza,Kigoma,Gahombo,Serivise,21050311,Fill In,,,,,,,,,,,,,,,,,,
"1,368",South,Nyanza,Kigoma,Gasoro,Bugarura,21050401,SAS,,,,,,,,,,,,,,,,,,
"1,369",South,Nyanza,Kigoma,Gasoro,Bwambika,21050402,SAS,,,,,,,,,,,,,,,,,,
"1,370",South,Nyanza,Kigoma,Gasoro,Gisoro,21050403,SAS 2023,,,,,,,,,,,,,,,,,,
"1,371",South,Nyanza,Kigoma,Gasoro,Giturwa,21050404,SAS,,,,,,,,,,,,,,,,,,
"1,372",South,Nyanza,Kigoma,Gasoro,Kabacuzi,21050405,SAS 2023,,,,,,,,,,,,,,,,,,
"1,373",South,Nyanza,Kigoma,Gasoro,Kajevuba,21050406,SAS,,,,,,,,,,,,,,,,,,
"1,374",South,Nyanza,Kigoma,Gasoro,Kinene,21050407,SAS,,,,,,,,,,,,,,,,,,
"1,375",South,Nyanza,Kigoma,Gasoro,Mutende,21050408,GE,,,,,,,,,,,,,,,,,,
"1,376",South,Nyanza,Kigoma,Gasoro,Nyabubare,21050409,SAS 2023,,,,,,,,,,,,,,,,,,
"1,377",South,Nyanza,Kigoma,Gasoro,Nyakabungo,21050410,GE,,,,,,,,,,,,,,,,,,
"1,378",South,Nyanza,Kigoma,Gasoro,Runyanzige,21050411,SAS 2023,,,,,,,,,,,,,,,,,,
"1,379",South,Nyanza,Kigoma,Gasoro,Sholi,21050412,GE,,,,,,,,,,,,,,,,,,
"1,380",South,Nyanza,Kigoma,Mulinja,Akana Ka Mulinja,21050501,GE,,,,,,,,,,,,,,,,,,
"1,381",South,Nyanza,Kigoma,Mulinja,Akintare,21050502,SAS,,,,,,,,,,,,,,,,,,
"1,382",South,Nyanza,Kigoma,Mulinja,Buharankakara,21050503,SAS 2023,,,,,,,,,,,,,,,,,,
"1,383",South,Nyanza,Kigoma,Mulinja,Buhoro,21050504,GE,,,,,,,,,,,,,,,,,,
"1,384",South,Nyanza,Kigoma,Mulinja,Burambi,21050505,SAS,,,,,,,,,,,,,,,,,,
"1,385",South,Nyanza,Kigoma,Mulinja,Karama,21050506,GE,,,,,,,,,,,,,,,,,,
"1,386",South,Nyanza,Kigoma,Mulinja,Kigarama,21050507,SAS,,,,,,,,,,,,,,,,,,
"1,387",South,Nyanza,Kigoma,Mulinja,Muramba,21050508,SAS,,,,,,,,,,,,,,,,,,
"1,388",South,Nyanza,Kigoma,Mulinja,Nyarukurazo,21050509,SAS,,,,,,,,,,,,,,,,,,
"1,389",South,Nyanza,Kigoma,Mulinja,Sabununga,21050510,SAS,,,,,,,,,,,,,,,,,,
"1,390",South,Nyanza,Mukingo,Cyerezo,Birambo,21060101,GE,,,,,,,,,,,,,,,,,,
"1,391",South,Nyanza,Mukingo,Cyerezo,Bweramana,21060102,GE,,,,,,,,,,,,,,,,,,
"1,392",South,Nyanza,Mukingo,Cyerezo,Cyerezo,21060103,GE,,,,,,,,,,,,,,,,,,
"1,393",South,Nyanza,Mukingo,Cyerezo,Cyikirehe,21060104,GE,,,,,,,,,,,,,,,,,,
"1,394",South,Nyanza,Mukingo,Cyerezo,Cyumba,21060105,GE,,,,,,,,,,,,,,,,,,
"1,395",South,Nyanza,Mukingo,Cyerezo,Gasharu,21060106,GE,,,,,,,,,,,,,,,,,,
"1,396",South,Nyanza,Mukingo,Cyerezo,Kamabuye,21060107,GE,,,,,,,,,,,,,,,,,,
"1,397",South,Nyanza,Mukingo,Cyerezo,Karambi,21060108,GE,,,,,,,,,,,,,,,,,,
"1,398",South,Nyanza,Mukingo,Cyerezo,Nyarutovu,21060109,GE,,,,,,,,,,,,,,,,,,
"1,399",South,Nyanza,Mukingo,Gatagara,Cyahafi,21060201,GE,,,,,,,,,,,,,,,,,,
"1,400",South,Nyanza,Mukingo,Gatagara,Gatagara,21060202,GE,,,,,,,,,,,,,,,,,,
"1,401",South,Nyanza,Mukingo,Gatagara,Kamushatsi,21060203,SAS 2023,,,,,,,,,,,,,,,,,,
"1,402",South,Nyanza,Mukingo,Gatagara,Karama,21060204,GE,,,,,,,,,,,,,,,,,,
"1,403",South,Nyanza,Mukingo,Gatagara,Karuhwanya,21060205,SAS 2023,,,,,,,,,,,,,,,,,,
"1,404",South,Nyanza,Mukingo,Gatagara,Kinyogoto,21060206,SAS 2023,,,,,,,,,,,,,,,,,,
"1,405",South,Nyanza,Mukingo,Gatagara,Muhororo,21060207,SAS,,,,,,,,,,,,,,,,,,
"1,406",South,Nyanza,Mukingo,Gatagara,Nyamiyaga,21060208,GE,,,,,,,,,,,,,,,,,,
"1,407",South,Nyanza,Mukingo,Gatagara,Nyamuko,21060209,SAS 2023,,,,,,,,,,,,,,,,,,
"1,408",South,Nyanza,Mukingo,Kiruli,Gahoko,21060301,GE,,,,,,,,,,,,,,,,,,
"1,409",South,Nyanza,Mukingo,Kiruli,Kaganza,21060302,SAS 2023,,,,,,,,,,,,,,,,,,
"1,410",South,Nyanza,Mukingo,Kiruli,Kiganda,21060303,SAS 2023,,,,,,,,,,,,,,,,,,
"1,411",South,Nyanza,Mukingo,Kiruli,Kigarama,21060304,GE,,,,,,,,,,,,,,,,,,
"1,412",South,Nyanza,Mukingo,Kiruli,Masambu,21060305,SAS,,,,,,,,,,,,,,,,,,
"1,413",South,Nyanza,Mukingo,Kiruli,Muganza,21060306,Fill In,,,,,,,,,,,,,,,,,,
"1,414",South,Nyanza,Mukingo,Kiruli,Murehe,21060307,SAS 2023,,,,,,,,,,,,,,,,,,
"1,415",South,Nyanza,Mukingo,Kiruli,Muturirwa,21060308,GE,,,,,,,,,,,,,,,,,,
"1,416",South,Nyanza,Mukingo,Kiruli,Nkiko,21060309,SAS 2023,,,,,,,,,,,,,,,,,,
"1,417",South,Nyanza,Mukingo,Kiruli,Nyabishinge,21060310,GE,,,,,,,,,,,,,,,,,,
"1,418",South,Nyanza,Mukingo,Kiruli,Nyankunamirwa,21060311,SAS 2023,,,,,,,,,,,,,,,,,,
"1,419",South,Nyanza,Mukingo,Mpanga,Birembo,21060401,GE,,,,,,,,,,,,,,,,,,
"1,420",South,Nyanza,Mukingo,Mpanga,Karambi,21060402,GE,,,,,,,,,,,,,,,,,,
"1,421",South,Nyanza,Mukingo,Mpanga,Kinyinya,21060403,GE,,,,,,,,,,,,,,,,,,
"1,422",South,Nyanza,Mukingo,Mpanga,Mataba,21060404,GE,,,,,,,,,,,,,,,,,,
"1,423",South,Nyanza,Mukingo,Mpanga,Nkinda,21060405,GE,,,,,,,,,,,,,,,,,,
"1,424",South,Nyanza,Mukingo,Mpanga,Nyakabuye,21060406,SAS 2023,,,,,,,,,,,,,,,,,,
"1,425",South,Nyanza,Mukingo,Mpanga,Nyamazi,21060407,SAS 2023,,,,,,,,,,,,,,,,,,
"1,426",South,Nyanza,Mukingo,Mpanga,Remera,21060408,SAS 2023,,,,,,,,,,,,,,,,,,
"1,427",South,Nyanza,Mukingo,Ngwa,Bikire,21060501,GE,,,,,,,,,,,,,,,,,,
"1,428",South,Nyanza,Mukingo,Ngwa,Biroro,21060502,SAS,,,,,,,,,,,,,,,,,,
"1,429",South,Nyanza,Mukingo,Ngwa,Gasiza,21060503,GE,,,,,,,,,,,,,,,,,,
"1,430",South,Nyanza,Mukingo,Ngwa,Kagwa  A,21060504,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,431",South,Nyanza,Mukingo,Ngwa,Karambi  A,21060505,GE,,,,,,,,,,,,,,,,,,
"1,432",South,Nyanza,Mukingo,Ngwa,Karenge,21060506,SAS,,,,,,,,,,,,,,,,,,
"1,433",South,Nyanza,Mukingo,Ngwa,Kidaturwa,21060507,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,434",South,Nyanza,Mukingo,Ngwa,Kigarama,21060508,GE,,,,,,,,,,,,,,,,,,
"1,435",South,Nyanza,Mukingo,Ngwa,Mwanabiri,21060509,GE,,,,,,,,,,,,,,,,,,
"1,436",South,Nyanza,Mukingo,Ngwa,Nyarunyinya A,21060510,GE,,,,,,,,,,,,,,,,,,
"1,437",South,Nyanza,Mukingo,Ngwa,Rutete,21060511,GE,,,,,,,,,,,,,,,,,,
"1,438",South,Nyanza,Mukingo,Nkomero,Cyimana,21060601,GE,,,,,,,,,,,,,,,,,,
"1,439",South,Nyanza,Mukingo,Nkomero,Gisuma,21060602,SAS,,,,,,,,,,,,,,,,,,
"1,440",South,Nyanza,Mukingo,Nkomero,Kabarima,21060603,SAS 2023,,,,,,,,,,,,,,,,,,
"1,441",South,Nyanza,Mukingo,Nkomero,Kibonde,21060604,SAS 2023,,,,,,,,,,,,,,,,,,
"1,442",South,Nyanza,Mukingo,Nkomero,Kigarama,21060605,SAS 2023,,,,,,,,,,,,,,,,,,
"1,443",South,Nyanza,Mukingo,Nkomero,Nyacyoma,21060606,SAS,,,,,,,,,,,,,,,,,,
"1,444",South,Nyanza,Mukingo,Nkomero,Nyakabungo,21060607,SAS,,,,,,,,,,,,,,,,,,
"1,445",South,Nyanza,Mukingo,Nkomero,Nyankokoma,21060608,SAS,,,,,,,,,,,,,,,,,,
"1,446",South,Nyanza,Mukingo,Nkomero,Nzuki,21060609,GE,,,,,,,,,,,,,,,,,,
"1,447",South,Nyanza,Mukingo,Nkomero,Ruhosha,21060610,SAS 2023,,,,,,,,,,,,,,,,,,
"1,448",South,Nyanza,Muyira,Gati,Buhaza,21070101,SAS,,,,,,,,,,,,,,,,,,
"1,449",South,Nyanza,Muyira,Gati,Kimfizi,21070102,SAS,,,,,,,,,,,,,,,,,,
"1,450",South,Nyanza,Muyira,Gati,Kinyoni,21070103,GE,,,,,,,,,,,,,,,,,,
"1,451",South,Nyanza,Muyira,Gati,Ruyenzi,21070104,SAS,,,,,,,,,,,,,,,,,,
"1,452",South,Nyanza,Muyira,Gati,Rwabihanga,21070105,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,453",South,Nyanza,Muyira,Migina,Bugina,21070201,GE,,,,,,,,,,,,,,,,,,
"1,454",South,Nyanza,Muyira,Migina,Kalilisi,21070202,GE,,,,,,,,,,,,,,,,,,
"1,455",South,Nyanza,Muyira,Migina,Kavumu,21070203,GE,,,,,,,,,,,,,,,,,,
"1,456",South,Nyanza,Muyira,Migina,Kinyana,21070204,GE,,,,,,,,,,,,,,,,,,
"1,457",South,Nyanza,Muyira,Migina,Musenyi,21070205,GE,,,,,,,,,,,,,,,,,,
"1,458",South,Nyanza,Muyira,Nyamiyaga,Gihama,21070301,GE,,,,,,,,,,,,,,,,,,
"1,459",South,Nyanza,Muyira,Nyamiyaga,Kabuye,21070302,GE,,,,,,,,,,,,,,,,,,
"1,460",South,Nyanza,Muyira,Nyamiyaga,Kiniga,21070303,GE,,,,,,,,,,,,,,,,,,
"1,461",South,Nyanza,Muyira,Nyamiyaga,Nzovi,21070304,SAS 2023,,,,,,,,,,,,,,,,,,
"1,462",South,Nyanza,Muyira,Nyamiyaga,Rugese,21070305,GE,,,,,,,,,,,,,,,,,,
"1,463",South,Nyanza,Muyira,Nyamure,Cyegera,21070401,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,464",South,Nyanza,Muyira,Nyamure,Gatare,21070402,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,465",South,Nyanza,Muyira,Nyamure,Gituza,21070403,GE,,,,,,,,,,,,,,,,,,
"1,466",South,Nyanza,Muyira,Nyamure,Kanyundo,21070404,GE,,,,,,,,,,,,,,,,,,
"1,467",South,Nyanza,Muyira,Nyamure,Nyarugunga,21070405,GE,,,,,,,,,,,,,,,,,,
"1,468",South,Nyanza,Muyira,Nyundo,Jari,21070501,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,469",South,Nyanza,Muyira,Nyundo,Nyundo,21070502,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,470",South,Nyanza,Muyira,Nyundo,Mugari,21070503,GE,,,,,,,,,,,,,,,,,,
"1,471",South,Nyanza,Muyira,Nyundo,Muyira,21070504,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,472",South,Nyanza,Muyira,Nyundo,Nzoga,21070505,SAS 2023,,,,,,,,,,,,,,,,,,
"1,473",South,Nyanza,Ntyazo,Bugali,Gakindo,21080101,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,474",South,Nyanza,Ntyazo,Bugali,Gisayura,21080102,GE,,,,,,,,,,,,,,,,,,
"1,475",South,Nyanza,Ntyazo,Bugali,Kabusheja,21080103,SAS 2023,,,,,,,,,,,,,,,,,,
"1,476",South,Nyanza,Ntyazo,Bugali,Kiruhura,21080104,GE,,,,,,,,,,,,,,,,,,
"1,477",South,Nyanza,Ntyazo,Bugali,Marabage,21080105,GE,,,,,,,,,,,,,,,,,,
"1,478",South,Nyanza,Ntyazo,Bugali,Ndago,21080106,GE,,,,,,,,,,,,,,,,,,
"1,479",South,Nyanza,Ntyazo,Bugali,Nkomane,21080107,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,480",South,Nyanza,Ntyazo,Bugali,Nyabitare,21080108,GE,,,,,,,,,,,,,,,,,,
"1,481",South,Nyanza,Ntyazo,Bugali,Rugarama,21080109,GE,,,,,,,,,,,,,,,,,,
"1,482",South,Nyanza,Ntyazo,Cyotamakara,Bayi,21080201,GE,,,,,,,,,,,,,,,,,,
"1,483",South,Nyanza,Ntyazo,Cyotamakara,Kankima,21080202,GE,,,,,,,,,,,,,,,,,,
"1,484",South,Nyanza,Ntyazo,Cyotamakara,Karuyumbo,21080203,GE,,,,,,,,,,,,,,,,,,
"1,485",South,Nyanza,Ntyazo,Cyotamakara,Misasa,21080204,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,486",South,Nyanza,Ntyazo,Cyotamakara,Mpande,21080205,GE,,,,,,,,,,,,,,,,,,
"1,487",South,Nyanza,Ntyazo,Cyotamakara,Nyabigugu,21080206,GE,,,,,,,,,,,,,,,,,,
"1,488",South,Nyanza,Ntyazo,Cyotamakara,Nyarutovu,21080207,GE,,,,,,,,,,,,,,,,,,
"1,489",South,Nyanza,Ntyazo,Cyotamakara,Ruyenzi,21080208,GE,,,,,,,,,,,,,,,,,,
"1,490",South,Nyanza,Ntyazo,Cyotamakara,Rwimpundu,21080209,GE,,,,,,,,,,,,,,,,,,
"1,491",South,Nyanza,Ntyazo,Kagunga,Bukinanyana,21080301,GE,,,,,,,,,,,,,,,,,,
"1,492",South,Nyanza,Ntyazo,Kagunga,Kamabuye,21080302,GE,,,,,,,,,,,,,,,,,,
"1,493",South,Nyanza,Ntyazo,Kagunga,Kimigunga,21080303,GE,,,,,,,,,,,,,,,,,,
"1,494",South,Nyanza,Ntyazo,Kagunga,Ntebe,21080304,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,495",South,Nyanza,Ntyazo,Kagunga,Nyakabungo,21080305,GE,,,,,,,,,,,,,,,,,,
"1,496",South,Nyanza,Ntyazo,Kagunga,Nyamirama,21080306,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,497",South,Nyanza,Ntyazo,Kagunga,Nyamirambo,21080307,GE,,,,,,,,,,,,,,,,,,
"1,498",South,Nyanza,Ntyazo,Kagunga,Nyamizi,21080308,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,499",South,Nyanza,Ntyazo,Kagunga,Nyarubuye,21080309,GE,,,,,,,,,,,,,,,,,,
"1,500",South,Nyanza,Ntyazo,Kagunga,Rusasa,21080310,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,501",South,Nyanza,Ntyazo,Kagunga,Samuduha,21080311,GE,,,,,,,,,,,,,,,,,,
"1,502",South,Nyanza,Ntyazo,Katarara,Gasharu,21080401,GE,,,,,,,,,,,,,,,,,,
"1,503",South,Nyanza,Ntyazo,Katarara,Kagarama,21080402,SAS 2023,,,,,,,,,,,,,,,,,,
"1,504",South,Nyanza,Ntyazo,Katarara,Kamabuye,21080403,GE,,,,,,,,,,,,,,,,,,
"1,505",South,Nyanza,Ntyazo,Katarara,Muhero,21080404,SAS 2023,,,,,,,,,,,,,,,,,,
"1,506",South,Nyanza,Ntyazo,Katarara,Munyiginya,21080405,SAS 2023,,,,,,,,,,,,,,,,,,
"1,507",South,Nyanza,Ntyazo,Katarara,Muyenzi,21080406,SAS 2023,,,,,,,,,,,,,,,,,,
"1,508",South,Nyanza,Ntyazo,Katarara,Nkombe,21080407,SAS 2023,,,,,,,,,,,,,,,,,,
"1,509",South,Nyanza,Ntyazo,Katarara,Rebero,21080408,GE,,,,,,,,,,,,,,,,,,
"1,510",South,Nyanza,Ntyazo,Katarara,Rukoma,21080409,GE,,,,,,,,,,,,,,,,,,
"1,511",South,Nyanza,Ntyazo,Katarara,Rusebeya,21080410,GE,,,,,,,,,,,,,,,,,,
"1,512",South,Nyanza,Nyagisozi,Gahunga,Gatare,21090101,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,513",South,Nyanza,Nyagisozi,Gahunga,Gihara,21090102,SAS,,,,,,,,,,,,,,,,,,
"1,514",South,Nyanza,Nyagisozi,Gahunga,Gituntu,21090103,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,515",South,Nyanza,Nyagisozi,Gahunga,Kagarama,21090104,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,516",South,Nyanza,Nyagisozi,Gahunga,Kigohe,21090105,SAS,,,,,,,,,,,,,,,,,,
"1,517",South,Nyanza,Nyagisozi,Gahunga,Mweya,21090106,GE,,,,,,,,,,,,,,,,,,
"1,518",South,Nyanza,Nyagisozi,Gahunga,Nyamugari,21090107,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,519",South,Nyanza,Nyagisozi,Gahunga,Uwarukara,21090108,SAS,,,,,,,,,,,,,,,,,,
"1,520",South,Nyanza,Nyagisozi,Kabirizi,Cyahafi,21090201,GE,,,,,,,,,,,,,,,,,,
"1,521",South,Nyanza,Nyagisozi,Kabirizi,Gihimbi,21090202,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,522",South,Nyanza,Nyagisozi,Kabirizi,Kabuye,21090203,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,523",South,Nyanza,Nyagisozi,Kabirizi,Muhaga,21090204,SAS,,,,,,,,,,,,,,,,,,
"1,524",South,Nyanza,Nyagisozi,Kabirizi,Nyagatovu,21090205,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,525",South,Nyanza,Nyagisozi,Kabirizi,Nyamabuye,21090206,SAS,,,,,,,,,,,,,,,,,,
"1,526",South,Nyanza,Nyagisozi,Kabirizi,Nyaruvumu,21090207,GE,,,,,,,,,,,,,,,,,,
"1,527",South,Nyanza,Nyagisozi,Kabuga,Gatoki,21090301,SAS,,,,,,,,,,,,,,,,,,
"1,528",South,Nyanza,Nyagisozi,Kabuga,Mirehe,21090302,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,529",South,Nyanza,Nyagisozi,Kabuga,Murandaryi,21090303,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,530",South,Nyanza,Nyagisozi,Kabuga,Mwokora,21090304,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,531",South,Nyanza,Nyagisozi,Kabuga,Nyamitobo,21090305,SAS,,,,,,,,,,,,,,,,,,
"1,532",South,Nyanza,Nyagisozi,Kabuga,Uwabushingwe,21090306,SAS,,,,,,,,,,,,,,,,,,
"1,533",South,Nyanza,Nyagisozi,Kabuga,Uwagisozi,21090307,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,534",South,Nyanza,Nyagisozi,Kabuga,Uwimpura,21090308,SAS,,,,,,,,,,,,,,,,,,
"1,535",South,Nyanza,Nyagisozi,Kirambi,Busenyeye,21090401,GE,,,,,,,,,,,,,,,,,,
"1,536",South,Nyanza,Nyagisozi,Kirambi,Bweru,21090402,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,537",South,Nyanza,Nyagisozi,Kirambi,Gasharu,21090403,GE,,,,,,,,,,,,,,,,,,
"1,538",South,Nyanza,Nyagisozi,Kirambi,Gasiza,21090404,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,539",South,Nyanza,Nyagisozi,Kirambi,Jarama,21090405,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,540",South,Nyanza,Nyagisozi,Kirambi,Mpaza,21090406,SAS 2023,,,,,,,,,,,,,,,,,,
"1,541",South,Nyanza,Nyagisozi,Kirambi,Murende,21090407,GE,,,,,,,,,,,,,,,,,,
"1,542",South,Nyanza,Nyagisozi,Kirambi,Mwezi,21090408,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,543",South,Nyanza,Nyagisozi,Kirambi,Rwankuba,21090409,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,544",South,Nyanza,Nyagisozi,Kirambi,Rwimbazi,21090410,GE,,,,,,,,,,,,,,,,,,
"1,545",South,Nyanza,Nyagisozi,Rurangazi,Gashyenzi,21090501,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
"1,546",South,Nyanza,Nyagisozi,Rurangazi,Kami,21090502,GE,,,,,,,,,,,,,,,,,,
"1,547",South,Nyanza,Nyagisozi,Rurangazi,Kigarama,21090503,GE,,,,,,,,,,,,,,,,,,
"1,548",South,Nyanza,Nyagisozi,Rurangazi,Musongati,21090504,GE_Temporaly SAS,,,,,,,,,,,,,,,,,,
