SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
54,Kigali City,Nyarugenge,Kanyinya,Nyamweru,Nyakirambi,11020104,GE,,,,,,,,,,,,,,,,,,
55,Kigali City,Nyarugenge,Kanyinya,Nyamweru,Nyamweru,11020105,GE,,,,,,,,,,,,,,,,,,
56,Kigali City,Nyarugenge,Kanyinya,Nyamweru,Ruhengeri,11020106,Fill In,,,,,,,,,,,,,,,,,,
57,Kigali City,Nyarugenge,Kanyinya,Nzove,Bibungo,11020201,GE,,,,,,,,,,,,,,,,,,
58,Kigali City,Nyarugenge,Kanyinya,Nzove,Bwiza,11020202,Fill In,,,,,,,,,,,,,,,,,,
59,Kigali City,Nyarugenge,Kanyinya,Nzove,Gateko,11020203,Fill In,,,,,,,,,,,,,,,,,,
60,Kigali City,Nyarugenge,Kanyinya,Nzove,Kagasa,11020204,GE,,,,,,,,,,,,,,,,,,
61,Kigali City,Nyarugenge,Kanyinya,Nzove,Nyabihu,11020205,Fill In,,,,,,,,,,,,,,,,,,
62,Kigali City,Nyarugenge,Kanyinya,Nzove,Rutagara I,11020206,GE,,,,,,,,,,,,,,,,,,
63,Kigali City,Nyarugenge,Kanyinya,Nzove,Rutagara Ii,11020207,GE,,,,,,,,,,,,,,,,,,
64,Kigali City,Nyarugenge,Kanyinya,Nzove,Ruyenzi,11020208,Fill In,,,,,,,,,,,,,,,,,,
65,Kigali City,Nyarugenge,Kanyinya,Taba,Kagaramira,11020301,GE,,,,,,,,,,,,,,,,,,
66,Kigali City,Nyarugenge,Kanyinya,Taba,Ngendo,11020302,Fill In,,,,,,,,,,,,,,,,,,
67,Kigali City,Nyarugenge,Kanyinya,Taba,Nyarurama,11020303,GE,,,,,,,,,,,,,,,,,,
68,Kigali City,Nyarugenge,Kanyinya,Taba,Nyarusange,11020304,GE,,,,,,,,,,,,,,,,,,
69,Kigali City,Nyarugenge,Kanyinya,Taba,Rwakivumu,11020305,GE,,,,,,,,,,,,,,,,,,
70,Kigali City,Nyarugenge,Kanyinya,Taba,Taba,11020306,Fill In,,,,,,,,,,,,,,,,,,
71,Kigali City,Nyarugenge,Kigali,Kigali,Akirwanda,11030101,GE,,,,,,,,,,,,,,,,,,
72,Kigali City,Nyarugenge,Kigali,Kigali,Gisenga,11030102,GE,,,,,,,,,,,,,,,,,,
73,Kigali City,Nyarugenge,Kigali,Kigali,Kadobogo,11030103,Fill In,,,,,,,,,,,,,,,,,,
74,Kigali City,Nyarugenge,Kigali,Kigali,Kagarama,11030104,GE,,,,,,,,,,,,,,,,,,
75,Kigali City,Nyarugenge,Kigali,Kigali,Kibisogi,11030105,Fill In,,,,,,,,,,,,,,,,,,
76,Kigali City,Nyarugenge,Kigali,Kigali,Muganza,11030106,GE,,,,,,,,,,,,,,,,,,
77,Kigali City,Nyarugenge,Kigali,Kigali,Murama,11030107,GE,,,,,,,,,,,,,,,,,,
78,Kigali City,Nyarugenge,Kigali,Kigali,Rubuye,11030108,GE,,,,,,,,,,,,,,,,,,
79,Kigali City,Nyarugenge,Kigali,Kigali,Ruhango,11030109,GE,,,,,,,,,,,,,,,,,,
80,Kigali City,Nyarugenge,Kigali,Kigali,Ryasharangabo,11030110,GE,,,,,,,,,,,,,,,,,,
